#### Simulations (10)
# frogger.points #1
0.0,0.0
21.0,0.0
21.0,1.0
23.0,1.0
23.0,2.0
26.0,2.0
26.0,3.0
28.0,3.0
28.0,4.0
49.0,4.0
49.0,5.0
50.0,5.0
50.0,6.0
51.0,6.0
51.0,7.0
54.0,7.0
54.0,8.0
55.0,8.0
55.0,9.0
57.0,9.0
57.0,10.0
58.0,10.0
58.0,11.0
79.0,11.0
79.0,12.0
80.0,12.0
80.0,13.0
103.0,13.0
103.0,14.0
123.0,14.0
123.0,15.0
124.0,15.0
124.0,16.0
125.0,16.0
125.0,17.0
126.0,17.0
126.0,18.0
127.0,18.0
127.0,19.0
129.0,19.0
129.0,20.0
131.0,20.0
131.0,21.0
133.0,21.0
133.0,22.0
600.000002,22.0
# frogger.points #2
0.0,0.0
22.0,0.0
22.0,1.0
43.0,1.0
43.0,2.0
65.0,2.0
65.0,3.0
66.0,3.0
66.0,4.0
67.0,4.0
67.0,5.0
68.0,5.0
68.0,6.0
91.0,6.0
91.0,7.0
92.0,7.0
92.0,8.0
95.0,8.0
95.0,9.0
119.0,9.0
119.0,10.0
122.0,10.0
122.0,11.0
123.0,11.0
123.0,12.0
126.0,12.0
126.0,13.0
127.0,13.0
127.0,14.0
133.0,14.0
133.0,15.0
600.000002,15.0
# frogger.points #3
0.0,0.0
21.0,0.0
21.0,1.0
22.0,1.0
22.0,2.0
23.0,2.0
23.0,3.0
45.0,3.0
45.0,4.0
46.0,4.0
46.0,5.0
49.0,5.0
49.0,6.0
51.0,6.0
51.0,7.0
52.0,7.0
52.0,8.0
55.0,8.0
55.0,9.0
56.0,9.0
56.0,10.0
60.0,10.0
60.0,11.0
63.0,11.0
63.0,12.0
90.0,12.0
90.0,13.0
91.0,13.0
91.0,14.0
119.0,14.0
119.0,15.0
120.0,15.0
120.0,16.0
121.0,16.0
121.0,17.0
145.0,17.0
145.0,18.0
146.0,18.0
146.0,19.0
147.0,19.0
147.0,20.0
152.0,20.0
152.0,21.0
154.0,21.0
154.0,22.0
155.0,22.0
155.0,23.0
156.0,23.0
156.0,24.0
600.000002,24.0
# frogger.points #4
0.0,0.0
23.0,0.0
23.0,1.0
46.0,1.0
46.0,2.0
51.0,2.0
51.0,3.0
52.0,3.0
52.0,4.0
53.0,4.0
53.0,5.0
54.0,5.0
54.0,6.0
76.0,6.0
76.0,7.0
77.0,7.0
77.0,8.0
78.0,8.0
78.0,9.0
79.0,9.0
79.0,10.0
81.0,10.0
81.0,11.0
103.0,11.0
103.0,12.0
104.0,12.0
104.0,13.0
132.0,13.0
132.0,14.0
600.000002,14.0
# frogger.points #5
0.0,0.0
20.0,0.0
20.0,1.0
21.0,1.0
21.0,2.0
22.0,2.0
22.0,3.0
42.0,3.0
42.0,4.0
43.0,4.0
43.0,5.0
45.0,5.0
45.0,6.0
48.0,6.0
48.0,7.0
52.0,7.0
52.0,8.0
54.0,8.0
54.0,9.0
55.0,9.0
55.0,10.0
57.0,10.0
57.0,11.0
58.0,11.0
58.0,12.0
61.0,12.0
61.0,13.0
81.0,13.0
81.0,14.0
82.0,14.0
82.0,15.0
83.0,15.0
83.0,16.0
104.0,16.0
104.0,17.0
127.0,17.0
127.0,18.0
128.0,18.0
128.0,19.0
129.0,19.0
129.0,20.0
600.000002,20.0
# frogger.points #6
0.0,0.0
22.0,0.0
22.0,1.0
23.0,1.0
23.0,2.0
25.0,2.0
25.0,3.0
28.0,3.0
28.0,4.0
50.0,4.0
50.0,5.0
54.0,5.0
54.0,6.0
55.0,6.0
55.0,7.0
78.0,7.0
78.0,8.0
80.0,8.0
80.0,9.0
81.0,9.0
81.0,10.0
83.0,10.0
83.0,11.0
106.0,11.0
106.0,12.0
127.0,12.0
127.0,13.0
129.0,13.0
129.0,14.0
130.0,14.0
130.0,15.0
600.000002,15.0
# frogger.points #7
0.0,0.0
22.0,0.0
22.0,1.0
24.0,1.0
24.0,2.0
25.0,2.0
25.0,3.0
28.0,3.0
28.0,4.0
50.0,4.0
50.0,5.0
70.0,5.0
70.0,6.0
92.0,6.0
92.0,7.0
93.0,7.0
93.0,8.0
94.0,8.0
94.0,9.0
116.0,9.0
116.0,10.0
117.0,10.0
117.0,11.0
118.0,11.0
118.0,12.0
600.000002,12.0
# frogger.points #8
0.0,0.0
21.0,0.0
21.0,1.0
22.0,1.0
22.0,2.0
25.0,2.0
25.0,3.0
26.0,3.0
26.0,4.0
47.0,4.0
47.0,5.0
68.0,5.0
68.0,6.0
69.0,6.0
69.0,7.0
92.0,7.0
92.0,8.0
93.0,8.0
93.0,9.0
123.0,9.0
123.0,10.0
125.0,10.0
125.0,11.0
128.0,11.0
128.0,12.0
600.000002,12.0
# frogger.points #9
0.0,0.0
22.0,0.0
22.0,1.0
23.0,1.0
23.0,2.0
29.0,2.0
29.0,3.0
31.0,3.0
31.0,4.0
32.0,4.0
32.0,5.0
33.0,5.0
33.0,6.0
53.0,6.0
53.0,7.0
54.0,7.0
54.0,8.0
77.0,8.0
77.0,9.0
99.0,9.0
99.0,10.0
100.0,10.0
100.0,11.0
104.0,11.0
104.0,12.0
126.0,12.0
126.0,13.0
127.0,13.0
127.0,14.0
128.0,14.0
128.0,15.0
129.0,15.0
129.0,16.0
131.0,16.0
131.0,17.0
132.0,17.0
132.0,18.0
135.0,18.0
135.0,19.0
140.0,19.0
140.0,20.0
144.0,20.0
144.0,21.0
145.0,21.0
145.0,22.0
146.0,22.0
146.0,23.0
600.000002,23.0
# frogger.points #10
0.0,0.0
21.0,0.0
21.0,1.0
42.0,1.0
42.0,2.0
63.0,2.0
63.0,3.0
64.0,3.0
64.0,4.0
65.0,4.0
65.0,5.0
67.0,5.0
67.0,6.0
68.0,6.0
68.0,7.0
69.0,7.0
69.0,8.0
71.0,8.0
71.0,9.0
72.0,9.0
72.0,10.0
93.0,10.0
93.0,11.0
102.0,11.0
102.0,12.0
123.0,12.0
123.0,13.0
124.0,13.0
124.0,14.0
128.0,14.0
128.0,15.0
129.0,15.0
129.0,16.0
132.0,16.0
132.0,17.0
133.0,17.0
133.0,18.0
135.0,18.0
135.0,19.0
600.000002,19.0
