#### Simulations (10)
# frogger.lives #1
0.0,5.0
27.0,5.0
27.0,4.0
63.0,4.0
63.0,3.0
93.0,3.0
93.0,2.0
124.0,2.0
124.0,1.0
154.0,1.0
154.0,0.0
600.000002,0.0
# frogger.lives #2
0.0,5.0
32.0,5.0
32.0,4.0
64.0,4.0
64.0,3.0
95.0,3.0
95.0,2.0
120.0,2.0
120.0,1.0
147.0,1.0
147.0,0.0
600.000002,0.0
# frogger.lives #3
0.0,5.0
27.0,5.0
27.0,4.0
47.0,4.0
47.0,3.0
80.0,3.0
80.0,2.0
109.0,2.0
109.0,1.0
141.0,1.0
141.0,0.0
600.000002,0.0
# frogger.lives #4
0.0,5.0
27.0,5.0
27.0,4.0
55.0,4.0
55.0,3.0
75.0,3.0
75.0,2.0
99.0,2.0
99.0,1.0
124.0,1.0
124.0,0.0
600.000002,0.0
# frogger.lives #5
0.0,5.0
24.0,5.0
24.0,4.0
45.0,4.0
45.0,3.0
70.0,3.0
70.0,2.0
107.0,2.0
107.0,1.0
131.0,1.0
131.0,0.0
600.000002,0.0
# frogger.lives #6
0.0,5.0
28.0,5.0
28.0,4.0
62.0,4.0
62.0,3.0
93.0,3.0
93.0,2.0
132.0,2.0
132.0,1.0
159.0,1.0
159.0,0.0
600.000002,0.0
# frogger.lives #7
0.0,5.0
28.0,5.0
28.0,4.0
53.0,4.0
53.0,3.0
82.0,3.0
82.0,2.0
105.0,2.0
105.0,1.0
129.0,1.0
129.0,0.0
600.000002,0.0
# frogger.lives #8
0.0,5.0
22.0,5.0
22.0,4.0
44.0,4.0
44.0,3.0
69.0,3.0
69.0,2.0
94.0,2.0
94.0,1.0
127.0,1.0
127.0,0.0
600.000002,0.0
# frogger.lives #9
0.0,5.0
32.0,5.0
32.0,4.0
64.0,4.0
64.0,3.0
97.0,3.0
97.0,2.0
126.0,2.0
126.0,1.0
156.0,1.0
156.0,0.0
600.000002,0.0
# frogger.lives #10
0.0,5.0
39.0,5.0
39.0,4.0
61.0,4.0
61.0,3.0
84.0,3.0
84.0,2.0
105.0,2.0
105.0,1.0
132.0,1.0
132.0,0.0
600.000002,0.0
